x,y,Station_Name
546.6926212469442,537.9289386215332,P-73
618.2772954405818,609.9624195499272,P-532
827.7960300972898,820.7947512891224,P-900
593.1761243362477,584.7038743320862,P-377
778.4420846176936,771.1313766842622,P-835
635.1110207089647,626.901685415604,P-634
555.163382707361,546.4528083042724,P-154
570.7892262601333,562.1766195282219,P-234
737.3898767070111,729.8217881597196,P-809
704.1615974889683,696.3851811722845,A-796
703.154945173665,695.372217557199,P-729
602.6510485343656,594.238202443672,P-438
581.8934511529432,573.350463385877,P-304
657.2738460973898,649.203462687342,P-651
698.2595732908752,690.4461536876832,P-788
571.4162139742803,562.8075381998243,P-251
526.9002100540307,518.0124370763131,P-2
534.1484067956101,525.3060770576515,P-44
817.4123294075583,810.3459490276684,A-868
746.5340618946262,739.0233036619907,A-811
787.2292626763419,779.9736467683566,A-861
472.0,348.41487514333187,P-31_RL
574.3498077499131,228.28873792196373,A-139
598.7326792319009,203.39788995076782,P-190
617.7171615223714,184.01789761257925,P-254
656.912311004122,144.00618251662547,B-305
603.7548104951245,198.27113095289377,A-211
602.9679158330553,199.07441925375605,P-153
664.2155757595214,136.55076641215527,P-280
485.92534301686453,318.5553790036174,A-96_CL
622.210410914622,179.43103885799007,P-236
666.5909913753824,134.1258629709638,A-274
484.2257364244354,320.29039406672223,A-55
472.0,437.31720608981436,B-8
538.6131908880247,264.76986763514134,A-99
472.0,326.474931105392,P-48
565.5343380149078,237.28786327644826,A-118_CL
557.4978456299147,245.49178258612875,P-112
605.8571916705874,196.1249501696086,A-151
661.9494361640071,138.86411724924272,P-288
472.0,329.9423869066469,P-44
581.5008292870159,220.9887367695046,P-142
553.1796982592207,249.89989136037892,A-108
640.6194856864237,160.63844169510918,A-266
234.11752470693574,737.252552835266,A-200
434.6942803611737,463.8533037387133,P-55
463.45223883610174,462.9546175363718,P-140
226.0,723.6425645131625,P-179
249.78177569843896,752.7388009745931,P-216A
253.93058916309678,756.840468831698,B-231
226.0,721.400250153057,P-174
249.09245806200227,752.0573164931159,P-215B
441.8825517201681,463.62867025874476,P-38
228.35202458765878,731.5525697627991,P-183
226.0,710.9953058354691,P-150
451.1770484417631,310.49323695096643,P-062
322.06078517023036,178.68705152794348,P-313
347.2852701330961,204.43704659420223,P-188
369.2993336675131,226.90973645225296,P-078
472.0,337.06311832582065,P-018
355.56144085193523,212.8856375363506,P-148
296.4804240750329,152.57376624326272,P-375
472.0,355.64314255655404,A-25
315.7659290959397,172.26105261877183,P-341
293.79716263865095,149.8346035269562,A-387
298.64012710979813,154.77846309125226,P-363
299.74207174837704,155.90336490980155,P-356
314.003015564869,170.46141172247042,A-351
472.0,342.27027307077645,P-008
317.0529290627511,173.57486508489177,P-333
297.62652015503113,153.74373932492765,P-369
819.9731092451227,125.86284737962757,E10_TCR
956.591920561929,126.99661344864671,E30_TCR
504.6407601354596,495.6134294780016,A10_TCR
635.2549237206489,627.0464906405276,A50_TCR_105
649.1293078753394,641.0078615297302,A58_TCR
697.2980233954279,689.4785752662457,A60_TCR
738.5778517431145,731.0172113151716,A70_TCR
759.3709294935177,751.9406531894018,OHY_TCR
763.8393456139921,756.4370844579671,HTT_TCR
785.2589656615446,777.9909967942187,A80_TCR_101B
785.1753802666562,777.9068873529675,A80_TCR_101
785.2720898167279,778.0042032325067,A80_TCR_101C
827.7678936844802,820.7664384724707,A90_TCR
542.7401999570483,533.9517372608542,A20_TCR_107
542.7322047924899,533.9436919698724,A20_TCR_108
572.4745506255501,563.8725101906006,A30_TCR_105A
604.7653316092674,596.3657412118333,A40_TCR
472.0,416.97077442293426,K10_TCR_101
472.0,417.2765153866974,K10_TCR_101B
472.0,417.43706124112725,K10_TCR_102B
472.0,392.85717832626625,K20_TCR_213E
567.4676347788796,235.31428949656038,C30_TCR
596.338175423313,205.84227925536788,C40_TCR
622.9192680157362,178.70741390060272,C50_TCR_104
641.2347190699476,160.01039094942854,C54_TCR
643.385634570396,157.81466470938742,OCY_TCR
653.3028377314812,147.69085314911294,C60_TCR
715.3763651809709,124.99482460731096,C70_TCR_109
757.8484603179628,125.34729012712002,C76_TCR
801.379127188515,125.70854047459349,C80_TCR
819.6946091675061,125.86053617566395,C88_TCR
508.8483832453339,295.15477543705504,C10_TCR
538.4537998603857,264.9325793091895,C20_TCR
472.0,362.27686645572294,K30_TCR
665.9801814993098,657.9643832641957,L06_TCR
760.5580147879812,648.0,L10_TCR_102A
653.750554992351,648.0,L14_TCR
830.0457641498269,648.0,L16_TCR
998.4009018251362,648.0,L18_TCR
888.752570265604,648.0,L20_TCR
964.4207373706042,648.0,L30_TCR_108D
430.335707747455,463.989509132892,M10_TCR
226.0,636.6043907617295,M60_TCR_101D
226.0,666.223285626928,M70_TCR_205
226.0,695.0968199453993,M80_TCR_105
226.0,695.1925591173297,M80_TCR_106
247.01148614152208,749.999991980823,M90_TCR_112
246.95579748340884,749.9449361483701,M90_TCR_113
246.8046985391811,749.7955542375995,M90_TCR_114
246.8628459738513,749.8530409059666,M90_TCR_116A
263.31352536925306,766.1167807627843,M94_TCR_MSC
271.7863202309279,774.4932938646674,ODY_TCR_106
303.94694515635945,494.11842669595734,M16_TCR
284.3342954734575,514.047409438261,M20_TCR
265.97151590941786,532.7063628662366,M30_TCR_102D
246.92642119635468,552.0586365262848,M40_TCR_106B
226.0,607.4521968327289,M50_TCR_101D
321.6603502061964,178.27827416882553,R50_TCR_105
292.3021703409812,148.3084655564183,R60_TCR
299.5906617983636,155.7488005858295,ORY_TCR_101
433.7459924359327,292.6990339450146,R10_TCR
405.9408250287938,264.3145922168937,R20_TCR_105C
379.49375355493066,237.31654008732502,R30_TCR_110
379.6955258671417,237.52251598937386,R30_TCR_110A
348.5353888301399,205.7132094307678,R40_TCR_105
846.7218808938323,839.83925945743,S06_TCR
860.0,862.2349699354756,S12_TCR
860.0,886.0189761566929,S20_TCR
860.0,895.3301267089095,S24_TCH
860.0,907.1409108931496,S26_TCH
860.0,917.3888090242317,S28_TCH
860.0,931.3338958288698,S40_TCR
860.0,954.4740582045183,S44_TCH
860.0,973.7092281949814,S50_TCR
274.3112423589788,776.9895236958085,W10_TCR_110
274.2688389618811,776.947602155496,W10_TCR_111E
304.1608124457385,806.4998941224915,W20_TCR_101
337.99174375626575,839.9463830317627,W30_TCR
357.862008903601,859.5908497115146,W34_TCR
372.35834489564536,865.9233642867706,W40_TCR_102
371.99472661235137,866.0893639378396,W40_TCR_103
371.76636988703325,866.1936137472239,W40_TCR_103A
370.428576872832,866.8043453406636,W40_TCR
414.53459800288704,846.6689878682472,Y10_TCR_552
415.7434387229865,846.1171258003757,Y10_TCR_A
413.9275427257267,846.9461217991247,Y10_TCR_B
950.306031228005,126.94444839193365,E39_TCR
643.3882197595918,157.81202566208333,C55_TCR
